id1,id2,types
1,1,SYNAPSESET_TO_SYNAPSESET
1,19,SYNAPSESET_TO_SYNAPSE
7,1,NEURON_TO_SYNAPSE
7,7,NEURON_CONNECTIONS
7,8,NEURON_CONNECTIONS
7,9,NEURON_CONNECTIONS
7,10,NEURON_CONNECTIONS
7,14,NEURON_CONNECTIONS
7,18,NEURON_CONNECTIONS
7,24,NEURON_CONNECTIONS
7,26,NEURON_CONNECTIONS
7,27,NEURON_CONNECTIONS
7,28,NEURON_CONNECTIONS
8,1,NEURON_TO_SYNAPSE
8,7,NEURON_CONNECTIONS
8,8,NEURON_CONNECTIONS
8,9,NEURON_CONNECTIONS
8,10,NEURON_CONNECTIONS
8,13,NEURON_CONNECTIONS
8,14,NEURON_CONNECTIONS
8,18,NEURON_CONNECTIONS
8,24,NEURON_CONNECTIONS
8,25,NEURON_CONNECTIONS
8,26,NEURON_CONNECTIONS
8,27,NEURON_CONNECTIONS
8,28,NEURON_CONNECTIONS
9,1,NEURON_TO_SYNAPSE
9,7,NEURON_CONNECTIONS
9,8,NEURON_CONNECTIONS
9,9,NEURON_CONNECTIONS
9,10,NEURON_CONNECTIONS
9,18,NEURON_CONNECTIONS
9,24,NEURON_CONNECTIONS
9,26,NEURON_CONNECTIONS
9,27,NEURON_CONNECTIONS
9,28,NEURON_CONNECTIONS
10,1,NEURON_TO_SYNAPSE
10,8,NEURON_CONNECTIONS
10,18,NEURON_CONNECTIONS
10,27,NEURON_CONNECTIONS
10,28,NEURON_CONNECTIONS
13,1,NEURON_TO_SYNAPSE
13,7,NEURON_CONNECTIONS
13,18,NEURON_CONNECTIONS
13,24,NEURON_CONNECTIONS
13,26,NEURON_CONNECTIONS
13,27,NEURON_CONNECTIONS
14,1,NEURON_TO_SYNAPSE
14,7,NEURON_CONNECTIONS
14,8,NEURON_CONNECTIONS
14,14,NEURON_CONNECTIONS
14,18,NEURON_CONNECTIONS
14,24,NEURON_CONNECTIONS
14,27,NEURON_CONNECTIONS
14,28,NEURON_CONNECTIONS
18,1,NEURON_TO_SYNAPSE
18,7,NEURON_CONNECTIONS
18,8,NEURON_CONNECTIONS
18,9,NEURON_CONNECTIONS
18,10,NEURON_CONNECTIONS
18,14,NEURON_CONNECTIONS
18,18,NEURON_CONNECTIONS
18,24,NEURON_CONNECTIONS
18,26,NEURON_CONNECTIONS
18,27,NEURON_CONNECTIONS
18,28,NEURON_CONNECTIONS
19,19,SYNAPSE_CONNECTIONS
24,1,NEURON_TO_SYNAPSE
24,7,NEURON_CONNECTIONS
24,8,NEURON_CONNECTIONS
24,9,NEURON_CONNECTIONS
24,10,NEURON_CONNECTIONS
24,13,NEURON_CONNECTIONS
24,14,NEURON_CONNECTIONS
24,18,NEURON_CONNECTIONS
24,24,NEURON_CONNECTIONS
24,25,NEURON_CONNECTIONS
24,26,NEURON_CONNECTIONS
24,27,NEURON_CONNECTIONS
24,28,NEURON_CONNECTIONS
25,1,NEURON_TO_SYNAPSE
25,7,NEURON_CONNECTIONS
25,8,NEURON_CONNECTIONS
25,9,NEURON_CONNECTIONS
25,10,NEURON_CONNECTIONS
25,18,NEURON_CONNECTIONS
25,24,NEURON_CONNECTIONS
25,26,NEURON_CONNECTIONS
25,27,NEURON_CONNECTIONS
25,28,NEURON_CONNECTIONS
26,1,NEURON_TO_SYNAPSE
26,7,NEURON_CONNECTIONS
26,8,NEURON_CONNECTIONS
26,9,NEURON_CONNECTIONS
26,10,NEURON_CONNECTIONS
26,13,NEURON_CONNECTIONS
26,14,NEURON_CONNECTIONS
26,18,NEURON_CONNECTIONS
26,24,NEURON_CONNECTIONS
26,25,NEURON_CONNECTIONS
26,26,NEURON_CONNECTIONS
26,27,NEURON_CONNECTIONS
26,28,NEURON_CONNECTIONS
27,1,NEURON_TO_SYNAPSE
27,7,NEURON_CONNECTIONS
27,8,NEURON_CONNECTIONS
27,9,NEURON_CONNECTIONS
27,10,NEURON_CONNECTIONS
27,13,NEURON_CONNECTIONS
27,14,NEURON_CONNECTIONS
27,18,NEURON_CONNECTIONS
27,24,NEURON_CONNECTIONS
27,25,NEURON_CONNECTIONS
27,26,NEURON_CONNECTIONS
27,27,NEURON_CONNECTIONS
27,28,NEURON_CONNECTIONS
28,1,NEURON_TO_SYNAPSE
28,7,NEURON_CONNECTIONS
28,8,NEURON_CONNECTIONS
28,9,NEURON_CONNECTIONS
28,10,NEURON_CONNECTIONS
28,13,NEURON_CONNECTIONS
28,14,NEURON_CONNECTIONS
28,18,NEURON_CONNECTIONS
28,24,NEURON_CONNECTIONS
28,25,NEURON_CONNECTIONS
28,26,NEURON_CONNECTIONS
28,27,NEURON_CONNECTIONS
28,28,NEURON_CONNECTIONS
3,2,SUBTYPE_OF
4,3,SUBTYPE_OF
5,4,SUBTYPE_OF
6,5,SUBTYPE_OF
7,6,SUBTYPE_OF
8,6,SUBTYPE_OF
9,5,SUBTYPE_OF
10,4,SUBTYPE_OF
11,3,SUBTYPE_OF
12,11,SUBTYPE_OF
13,12,SUBTYPE_OF
14,12,SUBTYPE_OF
15,11,SUBTYPE_OF
16,15,SUBTYPE_OF
17,15,SUBTYPE_OF
18,2,SUBTYPE_OF
21,20,SUBTYPE_OF
22,21,SUBTYPE_OF
23,22,SUBTYPE_OF
24,23,SUBTYPE_OF
25,23,SUBTYPE_OF
26,22,SUBTYPE_OF
27,21,SUBTYPE_OF
28,20,SUBTYPE_OF
