id1,id2,types,new
3,8,NEURON_TO_SYNAPSE,0
3,14,NEURON_CONNECTIONS,1
5,6,NEURON_CONNECTIONS,0
5,8,NEURON_TO_SYNAPSE,0
5,17,NEURON_CONNECTIONS,1
6,5,NEURON_CONNECTIONS,0
6,8,NEURON_TO_SYNAPSE,0
8,10,SYNAPSESET_TO_SYNAPSE,0
8,11,SYNAPSESET_TO_SYNAPSE,0
10,11,SYNAPSE_CONNECTIONS,0
11,10,SYNAPSE_CONNECTIONS,0
14,3,NEURON_CONNECTIONS,1
14,6,NEURON_CONNECTIONS,1
14,8,NEURON_TO_SYNAPSE,1
17,5,NEURON_CONNECTIONS,1
17,6,NEURON_CONNECTIONS,1
17,8,NEURON_TO_SYNAPSE,1
2,1,SUBTYPE_OF,0
3,2,SUBTYPE_OF,0
4,2,SUBTYPE_OF,0
5,4,SUBTYPE_OF,0
6,4,SUBTYPE_OF,0
7,1,SUBTYPE_OF,0
10,9,SUBTYPE_OF,0
11,9,SUBTYPE_OF,0
13,12,SUBTYPE_OF,0
14,13,SUBTYPE_OF,0
15,12,SUBTYPE_OF,0
16,15,SUBTYPE_OF,1
17,16,SUBTYPE_OF,1
