id1,id2,types
0,0,CITATION_HAS_REFERENCE
0,8,MAPS
0,13,CITATION_HAS_REFERENCE
0,17,PAPER_HAS_ABSTRACTCOLLECTION
0,22,PATENT_HAS_PATENTTITLE
0,33,PATENT_HAS_PATENTNUMBER
0,60,PATENT_HAS_PATENTCITATIONCOLLECTION
0,71,PATENT_HAS_PATENTABSTRACT
0,77,CODES
0,79,CODES
0,81,PAPER_HAS_REFERENCECOLLECTION
0,83,PAPER_HAS_AUTHORCOLLECTION
0,109,PATENT_HAS_PATENTCLASSIFICATIONCOLLECTION
0,147,PATENT_HAS_LENSID
0,160,MAPS
0,161,SYNONYM
0,187,MASYMOS_ENTITY_TO_CHEBI
0,192,REFERENCE_HAS_PAPERID
0,193,INVENTOR
0,210,MAPS
0,211,PAPER_HAS_BODYTEXTCOLLECTION
8,28,SYNONYM
8,64,SYNONYM
8,144,SYNONYM
8,160,SYNONYM
8,161,SYNONYM
13,192,REFERENCE_HAS_PAPERID
14,82,MASYMOS_BELONGS_TO
14,185,MASYMOS_HAS_CURVE
14,186,MASYMOS_HAS_CURVE
15,82,MASYMOS_BELONGS_TO
15,101,MASYMOS_IS_SIMULATED
15,150,MASYMOS_REFERENCES_SIMULATION_MODEL
15,171,MASYMOS_IS_REFERENCED_IN_TASK
15,205,MASYMOS_USED_IN_DATAGENERATOR
15,206,MASYMOS_USED_IN_DATAGENERATOR
16,178,HAS_FRAGMENT
17,91,ABSTRACTCOLLECTION_HAS_ABSTRACT
17,92,ABSTRACTCOLLECTION_HAS_ABSTRACT
18,18,MASYMOS_isA
19,150,MASYMOS_BELONGS_TO
19,201,MASYMOS_HAS_ANNOTATION
19,236,MASYMOS_HAS_MODIFIER
22,70,HAS_FRAGMENT
24,24,REPLACED_BY
24,25,REPLACED_BY
24,41,REPLACED_BY
25,41,REPLACED_BY
28,28,SYNONYM
28,64,SYNONYM
28,74,CODES
28,125,SYNONYM
28,144,SYNONYM
28,160,SYNONYM
28,161,SYNONYM
28,190,SYNONYM
29,150,MASYMOS_BELONGS_TO
29,201,MASYMOS_HAS_ANNOTATION
37,38,MAPS
37,41,MAPS
38,24,MAPS
38,25,MAPS
38,37,MAPS
38,41,MAPS
38,238,ASSOCIATION
41,24,MAPS
41,25,MAPS
41,37,MAPS
41,38,PRIMARY
41,41,MAPS
41,238,ASSOCIATION
44,0,CITATION_HAS_REFERENCE
44,13,CITATION_HAS_REFERENCE
45,34,HAS_PUBLICATION_ID
45,115,IS_REFERENCE_TYPE
46,46,CHILD
