id1,id2,types
6,7,NEURON_CONNECTIONS
6,10,NEURON_CONNECTIONS
6,11,NEURON_CONNECTIONS
6,13,NEURON_CONNECTIONS
6,16,NEURON_CONNECTIONS
6,19,NEURON_TO_SYNAPSE
7,10,NEURON_CONNECTIONS
7,11,NEURON_CONNECTIONS
7,19,NEURON_TO_SYNAPSE
10,6,NEURON_CONNECTIONS
10,7,NEURON_CONNECTIONS
10,11,NEURON_CONNECTIONS
10,13,NEURON_CONNECTIONS
10,16,NEURON_CONNECTIONS
10,17,NEURON_CONNECTIONS
10,19,NEURON_TO_SYNAPSE
11,6,NEURON_CONNECTIONS
11,7,NEURON_CONNECTIONS
11,10,NEURON_CONNECTIONS
11,13,NEURON_CONNECTIONS
11,16,NEURON_CONNECTIONS
11,19,NEURON_TO_SYNAPSE
13,6,NEURON_CONNECTIONS
13,7,NEURON_CONNECTIONS
13,10,NEURON_CONNECTIONS
13,11,NEURON_CONNECTIONS
13,16,NEURON_CONNECTIONS
13,17,NEURON_CONNECTIONS
13,19,NEURON_TO_SYNAPSE
16,6,NEURON_CONNECTIONS
16,7,NEURON_CONNECTIONS
16,10,NEURON_CONNECTIONS
16,11,NEURON_CONNECTIONS
16,13,NEURON_CONNECTIONS
16,17,NEURON_CONNECTIONS
16,19,NEURON_TO_SYNAPSE
17,6,NEURON_CONNECTIONS
17,7,NEURON_CONNECTIONS
17,10,NEURON_CONNECTIONS
17,11,NEURON_CONNECTIONS
17,13,NEURON_CONNECTIONS
17,16,NEURON_CONNECTIONS
17,19,NEURON_TO_SYNAPSE
19,18,SYNAPSESET_TO_SYNAPSE
2,1,SUBTYPE_OF
3,2,SUBTYPE_OF
4,3,SUBTYPE_OF
5,4,SUBTYPE_OF
6,5,SUBTYPE_OF
7,3,SUBTYPE_OF
8,2,SUBTYPE_OF
9,8,SUBTYPE_OF
10,9,SUBTYPE_OF
11,1,SUBTYPE_OF
13,12,SUBTYPE_OF
14,12,SUBTYPE_OF
15,14,SUBTYPE_OF
16,15,SUBTYPE_OF
17,15,SUBTYPE_OF
