id1,id2,types
2,6,IS_LOCATED_IN
3,3,REPLY_OF
3,6,IS_LOCATED_IN
3,9,REPLY_OF
3,13,HAS_TAG
4,2,STUDIES_AT
4,3,HAS_CREATOR
4,4,KNOWS
4,6,IS_LOCATED_IN
4,9,LIKES
4,10,LIKES
4,13,HAS_INTEREST
5,5,IS_SUBCLASS_OF
6,6,IS_PART_OF
7,7,HAS_MEMBER
7,11,SUBTYPE_OF
7,14,CONTAINER_OF
9,4,HAS_CREATOR
9,6,IS_LOCATED_IN
9,13,HAS_TAG
10,4,HAS_CREATOR
10,6,IS_LOCATED_IN
12,4,HAS_MODERATOR
12,9,CONTAINER_OF
12,10,CONTAINER_OF
12,13,HAS_TAG
13,5,HAS_TYPE
14,7,HAS_CREATOR
14,11,SUBTYPE_OF
8,7,SUBTYPE_OF
9,7,SUBTYPE_OF
