id,labels,properties,depth,number,new,old_number
1,Synapse:medulla7column_Synapse,,1,292979,0,Nan
2,Synapse:medulla7column_Synapse,confidence:location:proximal:type,2,171000,0,Nan
3,Synapse:medulla7column_Synapse,confidence:distal:location:type,2,121000,0,Nan
4,Neurons:Segment:medulla7column_Segment,,1,69683,0,Nan
5,Neurons:Segment:medulla7column_Segment:?Neuron:?medulla7column_Neuron,bodyId:post:pre:roiInfo:size:?cropped:?distal:?instance:?proximal:?status:?statusLabel:?type,2,11530,0,Nan
6,Neurons:Segment:medulla7column_Segment:?Neuron:?medulla7column_Neuron,bodyId:post:pre:roiInfo:size:status:statusLabel:?cropped:?distal:?instance:?proximal:?type,3,2123,0,Nan
7,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:instance:post:pre:proximal:roiInfo:size:status:statusLabel:?distal,4,996,0,Nan
8,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:instance:post:pre:proximal:roiInfo:size:status:statusLabel,5,793,0,Nan
9,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:distal:instance:post:pre:proximal:roiInfo:size:status:statusLabel,5,203,0,Nan
10,Neurons:Segment:medulla7column_Segment,bodyId:post:pre:roiInfo:size:?distal:?proximal,2,58153,0,Nan
11,Neurons:Segment:medulla7column_Segment,bodyId:post:pre:proximal:roiInfo:size,3,35400,0,Nan
12,Neurons:Segment:medulla7column_Segment,bodyId:distal:post:pre:roiInfo:size,3,22600,0,Nan
13,medulla7column_Segment:medulla7column_Neuron:Neurons:Segment:Neuron,,1,2352,0,Nan
14,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:post:pre:proximal:roiInfo:size:status:statusLabel:?cropped:?distal:?instance,2,1158,0,Nan
15,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:post:pre:roiInfo:size:status:statusLabel:?cropped:?distal:?instance:?proximal:?type,2,1194,0,Nan
16,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:distal:post:pre:roiInfo:size:status:statusLabel:?cropped:?instance:?type,3,286,0,Nan
17,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:distal:post:pre:roiInfo:size:status:statusLabel,4,9,0,Nan
18,medulla7column_SynapseSet:SynapseSet:SynapseDet,,1,279482,0,Nan
