id,labels,properties,profondeur
1,StopReason,,1
2,GtexDetailedTissue,,1
3,NamedEntity,,1
4,NamedEntity,id:type:value,2
5,NamedEntity,external_ids:id:type:value,2
6,Gene:OmitSpecialChar,,1
7,Gene:OmitSpecialChar,sid:source:status:taxid:type,2
8,Gene:OmitSpecialChar,sid:source:taxid:type,2
9,Reference,,1
10,Reference,_hash_id:name:?issn:?pages:?ref_id:?title:?venue:?volume:?year,2
11,Reference,_hash_id:name:title:?issn:?pages:?ref_id:?venue:?volume:?year,3
12,Reference,_hash_id:issn:name:pages:ref_id:title:venue:volume:year,4
13,MASYMOS_SEDML_OUTPUT,,1
14,MASYMOS_SEDML_MODELREFERENCE,,1
15,PatentClaim,,1
16,AbstractCollection,,1
17,MASYMOS_KISAOOntology,,1
18,MASYMOS_SBML_REACTION,,1
19,Completed,,1
20,Phase,,1
21,PatentTitle,,1
22,Protein:Legacy,,1
23,Legacy:Protein,reason:removed_in:sid:source:status:taxid:version,2
24,Legacy:Protein,length:reason:removed_in:sid:source:status:taxid:version,2
25,Gene:Gene mentioned in patent description_SemSpect_neo4j_2022-01-10T08:53:17.873201,,1
26,Gene:Gene mentioned in patent description_SemSpect_neo4j_2022-01-10T08:53:17.873201,sid:source:taxid:type,2
27,Gene:Gene mentioned in patent description_SemSpect_neo4j_2022-01-10T08:53:17.873201:?ACE2_SemSpect_neo4j_2022-01-10T08:53:17.795229:?PF4_SemSpect_neo4j_2022-01-10T08:53:21.072386,sid:source:taxid:type:?status,2
28,MASYMOS_SBML_PARAMETER,,1
29,Design,,1
30,Design,model,2
31,Design,description:model,2
32,PatentNumber,,1
33,PaperId,,1
34,Protein,,1
35,Protein,sid:source:taxid:?category,2
36,Protein,sid:source:taxid,3
37,Protein,category:sid:source:taxid,3
38,Protein:?Legacy,sid:source:taxid:?category:?desc:?length:?name:?reason:?removed_in:?status:?version,2
39,Legacy:Protein,reason:removed_in:sid:source:status:taxid:version:?length,3
40,Protein,sid:source:taxid:?category:?desc:?length:?name:?status:?version,3
41,Citation,,1
42,Citation,_hash_id:end:start:?mention:?text,2
43,Citation,_hash_id:end:mention:start:text,3
44,Citation,name,2
45,Pathway,,1
46,PatentLiteratureCitation,,1
47,PatentLiteratureCitation,_hash_id:lens_id,2
48,PatentLiteratureCitation,_hash_id,2
49,AgeRange,,1
50,USPatentClassification,,1
51,FromAbstract:Fragment,,1
52,Description,,1
53,Description,summary,2
54,Description,description:summary,2
55,PatentDescription,,1
56,MASYMOS_DOCUMENT,,1
57,MASYMOS_DOCUMENT,FILENAME:LEVEL:UID:URI:VERSION:VERSIONID,2
58,MASYMOS_DOCUMENT,FILENAME:UID:URI:VERSIONID,2
59,PatentCitationCollection,,1
60,InternationalPatentClassification,,1
61,MASYMOS_SBML_EVENT,,1
62,Gene:OmitLength,,1
63,Gene:OmitLength,sid:source:status:taxid:type,2
64,Gene:OmitLength:?OmitWord,sid:source:taxid:type:?status,2
65,Gene:OmitLength:OmitWord,sid:source:status:taxid:type,3
66,Gene:OmitLength,sid:source:taxid:type,3
67,BioSpecimen,,1
68,MASYMOS_SBOOntology,,1
69,FromPatentTitle:Fragment,,1
70,PatentAbstract,,1
71,Transcript,,1
72,Transcript,sid:source:?taxid,2
73,Transcript,sid:source,3
74,Transcript,sid:source:taxid,3
75,Transcript:?Legacy,sid:source:status:taxid:version:?length:?reason:?removed_in,2
76,Transcript,length:sid:source:status:taxid:version,3
77,Legacy:Transcript,reason:removed_in:sid:source:status:taxid:version:?length,3
78,Legacy:Transcript,reason:removed_in:sid:source:status:taxid:version,4
79,Legacy:Transcript,length:reason:removed_in:sid:source:status:taxid:version,4
80,ReferenceCollection,,1
81,MASYMOS_SEDML,,1
82,AuthorCollection,,1
83,Patent,,1
84,Patent,_hash_id:filing_date:filing_key:jurisdiction:lens_id:lens_url:pub_date:pub_key:type,2
85,Patent,_hash_id:filing_key:jurisdiction:lens_id:lens_url:pub_key:type:?filing_date:?pub_date,2
86,Patent,_hash_id:filing_key:jurisdiction:lens_id:lens_url:pub_key:type,3
87,Investigator,,1
88,MASYMOS_SBML_COMPARTMENT,,1
89,Abstract,,1
90,Abstract,_hash_id:section:text,2
91,Abstract,_hash_id:text,2
92,Country,,1
93,Country,name:un_id,2
94,Country,name,2
95,ClinicalTrial,,1
96,Paper,,1
97,Paper,_hash_id:cord_uid:source:?cord19-fulltext_hash:?journal:?publish_time:?title:?url,2
98,Paper,_hash_id:cord19-fulltext_hash:cord_uid:journal:publish_time:source:title:url,3
99,Paper,_hash_id:cord_uid:source:title:?cord19-fulltext_hash:?journal:?publish_time:?url,2
100,MASYMOS_SEDML_SIMULATION,,1
101,MASYMOS_SBML_RULE,,1
102,AgeGroup,,1
103,Link,,1
104,Arm,,1
105,Arm,description:name,2
106,Arm,name,2
107,InclusionCriteria,,1
108,PatentClassificationCollection,,1
109,GtexSample,,1
110,DailyReport,,1
111,DailyReport,confirmed:date:death:recovered:uuid,2
112,DailyReport:Latest,confirmed:date:death:recovered:uuid,2
113,Response,,1
114,ReferenceType,,1
115,Keyword,,1
116,Author,,1
117,Author,_hash_id:first:last,2
118,Author,_hash_id:?email:?first:?fist:?last:?middle:?suffix,2
119,Author,_hash_id:email:first:last:middle:suffix,3
120,Author,_hash_id:?first:?fist:?last:?middle:?suffix,3
121,Author,_hash_id:first:last:middle:?fist:?suffix,4
122,Author,_hash_id,4
123,Gene:PF4_SemSpect_neo4j_2022-01-10T08:53:21.072386:Gene mentioned in patent description_SemSpect_neo4j_2022-01-10T08:53:17.873201,,1
124,Gene:PF4_SemSpect_neo4j_2022-01-10T08:53:21.072386,,1
125,Purpose,,1
126,MASYMOS_SBML_FUNCTION,,1
127,Location,,1
128,Location,_hash_id:?addrLine:?country:?postBox:?postCode:?region:?settlement,2
129,_PipelineLogRun,,1
130,MASYMOS_GlobalUniqueId,,1
131,StudyIdentification,,1
132,StudyIdentification,studyId,2
133,StudyIdentification,acronym:studyId,2
134,_PipelineLogNode,,1
135,Condition,,1
136,Legacy:Transcript,,1
137,OntologySubset,,1
138,Gender,,1
139,Gender,name,2
140,Gender,description:name,2
141,Gene:OmitWord,,1
142,Gene:OmitWord:?OmitLength,sid:source:status:taxid:type,2
143,Gene:OmitWord,sid:source:status:taxid:type,3
144,Gene:OmitWord,sid:source:taxid:type,2
145,PatentFamily,,1
146,LensID,,1
147,Facility,,1
148,ExclusionCriteria,,1
149,MASYMOS_SBML_MODEL:MASYMOS_MODEL,,1
150,Intervention,,1
151,Intervention,description:name:type,2
152,Intervention,name:type,2
153,City,,1
154,BodyText,,1
155,Gene,,1
156,Gene:?ACE2_SemSpect_neo4j_2022-01-10T08:53:17.795229:?Gene mentioned in patent description_SemSpect_neo4j_2022-01-10T08:53:17.873201:?Legacy:?OmitLength:?OmitSpecialChar:?OmitWord:?PF4_SemSpect_neo4j_2022-01-10T08:53:21.072386,sid:source:?Feature_type:?Full_name_from_nomenclature_authority:?GeneID:?LocusTag:?Modification_date:?Nomenclature_status:?Other_designations:?Symbol:?Symbol_from_nomenclature_authority:?Synonyms:?chromosome:?date:?dbXrefs:?description:?map_location:?name:?status:?symbol:?tax_id:?taxid:?type:?type_of_gene,2
157,Gene:?ACE2_SemSpect_neo4j_2022-01-10T08:53:17.795229:?Gene mentioned in patent description_SemSpect_neo4j_2022-01-10T08:53:17.873201:?Legacy:?OmitLength:?OmitSpecialChar:?OmitWord:?PF4_SemSpect_neo4j_2022-01-10T08:53:21.072386,sid:source:taxid:?Feature_type:?Full_name_from_nomenclature_authority:?GeneID:?LocusTag:?Modification_date:?Nomenclature_status:?Other_designations:?Symbol:?Symbol_from_nomenclature_authority:?Synonyms:?chromosome:?date:?dbXrefs:?description:?map_location:?name:?status:?symbol:?tax_id:?type:?type_of_gene,3
158,Gene:?ACE2_SemSpect_neo4j_2022-01-10T08:53:17.795229:?Gene mentioned in patent description_SemSpect_neo4j_2022-01-10T08:53:17.873201:?Legacy:?OmitLength:?OmitSpecialChar:?OmitWord:?PF4_SemSpect_neo4j_2022-01-10T08:53:21.072386,sid:source:taxid:?Feature_type:?Full_name_from_nomenclature_authority:?GeneID:?LocusTag:?Modification_date:?Nomenclature_status:?Other_designations:?Symbol:?Symbol_from_nomenclature_authority:?Synonyms:?chromosome:?date:?dbXrefs:?description:?map_location:?status:?symbol:?tax_id:?type:?type_of_gene,4
