id,labels,properties,depth,number,new,old_number
1,Neuron:medulla7column_Neuron:Segment:medulla7column_Segment:Neurons,,1,2342,0,Nan
2,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:post:pre:roiInfo:size:status:statusLabel:?cropped:?distal:?instance:?proximal:?type,2,2110,0,Nan
3,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:distal:instance:post:pre:proximal:roiInfo:size:status:statusLabel:?type,3,526,0,Nan
4,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:distal:instance:post:pre:proximal:roiInfo:size:status:statusLabel:type,4,326,0,Nan
5,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:distal:instance:post:pre:proximal:roiInfo:size:status:statusLabel,4,200,0,Nan
6,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:post:pre:roiInfo:size:status:statusLabel:?distal:?proximal,2,232,0,Nan
7,medulla7column_Synapse:Synapse,,1,292662,0,Nan
8,Synapse:medulla7column_Synapse,confidence:distal:location:type,2,121000,0,Nan
9,Synapse:medulla7column_Synapse,confidence:location:proximal:type,2,171000,0,Nan
10,SynapseSet:SynapseDet:medulla7column_SynapseSet,,1,279185,0,Nan
11,medulla7column_Segment:Neurons:Segment,,1,69682,0,Nan
12,Neurons:Segment:medulla7column_Segment,bodyId:distal:post:pre:roiInfo:size,2,22669,0,Nan
13,Neurons:Segment:medulla7column_Segment:?Neuron:?medulla7column_Neuron,bodyId:post:pre:roiInfo:size:?cropped:?distal:?instance:?proximal:?status:?statusLabel:?type,2,47013,0,Nan
14,Neurons:Segment:medulla7column_Segment,bodyId:post:pre:proximal:roiInfo:size,3,35550,0,Nan
