id,labels,properties,depth,number,new,old_number
1,Neuron:medulla7column_Segment:medulla7column_Neuron:Segment,,1,2366,0,Nan
2,Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:post:pre:roiInfo:size:status:statusLabel:?cropped:?distal:?instance:?proximal:?type,2,587,0,Nan
3,Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:distal:instance:post:pre:proximal:roiInfo:size:status:statusLabel:type,3,320,0,Nan
4,Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:post:pre:roiInfo:size:status:statusLabel:?cropped:?distal:?proximal,3,267,0,Nan
5,Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:post:pre:roiInfo:size:status:statusLabel:?distal:?proximal,4,231,0,Nan
6,Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:post:pre:proximal:roiInfo:size:status:statusLabel,5,160,0,Nan
7,Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:distal:post:pre:roiInfo:size:status:statusLabel,5,71,0,Nan
8,Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:post:pre:roiInfo:size:status:statusLabel:?distal:?instance:?proximal:?type,2,1779,0,Nan
9,Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:instance:post:pre:roiInfo:size:status:statusLabel:?distal:?proximal:?type,3,569,0,Nan
10,Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:instance:post:pre:roiInfo:size:status:statusLabel:type:?distal:?proximal,4,373,0,Nan
11,Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:distal:instance:post:pre:proximal:roiInfo:size:status:statusLabel,4,196,0,Nan
12,Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:post:pre:roiInfo:size:status:statusLabel:?distal:?instance:?proximal,3,1210,0,Nan
13,Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:distal:post:pre:roiInfo:size:status:statusLabel:?instance:?proximal,4,416,0,Nan
14,Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:instance:post:pre:proximal:roiInfo:size:status:statusLabel,4,794,0,Nan
15,Meta:medulla7column_Meta,,1,1,0,Nan
16,medulla7column_Synapse:Synapse,,1,293045,0,Nan
17,Synapse:medulla7column_Synapse,confidence:distal:location:type,2,121000,0,Nan
18,Synapse:medulla7column_Synapse,confidence:location:proximal:type,2,171000,0,Nan
19,medulla7column_SynapseSet:SynapseSet,,1,279226,0,Nan
20,medulla7column_Segment:Segment,,1,69716,0,Nan
21,Segment:medulla7column_Segment,bodyId:post:pre:roiInfo:size:?distal:?proximal,2,58240,0,Nan
22,Segment:medulla7column_Segment,bodyId:distal:post:pre:roiInfo:size,3,22700,0,Nan
23,Segment:medulla7column_Segment,bodyId:post:pre:proximal:roiInfo:size,3,35500,0,Nan
24,Segment:medulla7column_Segment:?Neuron:?medulla7column_Neuron,bodyId:post:pre:roiInfo:size:?cropped:?distal:?instance:?proximal:?status:?statusLabel:?type,2,11476,0,Nan
