id,labels,properties,depth,number,new,old_number
1,MASYMOS_RESOURCE,,1,11293,0,Nan
2,Fragment:FromPatentClaim,,1,644220,0,Nan
3,Collaborator,,1,2995,0,Nan
4,Author,,1,441921,0,Nan
5,Author,_hash_id:?first:?fist:?last:?middle:?suffix,2,257137,0,Nan
6,Author,_hash_id:first:last,3,82012,0,Nan
7,Author,_hash_id:email:first:last:middle:suffix,2,184784,0,Nan
8,Affiliation,,1,23138,0,Nan
9,Entity,,1,33196,0,Nan
10,StudyPopulation,,1,2070,0,Nan
11,Fragment:FromPatentAbstract,,1,73165,0,Nan
12,USPatentClassification,,1,6087,0,Nan
13,SynonymTerm,,1,154345,0,Nan
14,ClinicalTrial,,1,4951,0,Nan
15,MASYMOS_SEDML,,1,36,0,Nan
16,LensID,,1,89431,0,Nan
17,MASYMOS_PERSON,,1,307,0,Nan
18,OmitLength:OmitWord:Gene,,1,4,0,Nan
19,Metabolite,,1,110158,0,Nan
20,Metabolite,alt_ids:name:ontology_id:sid:source,2,69900,0,Nan
21,Metabolite,alt_ids:definition:name:ontology_id:sid:source,2,40200,0,Nan
22,MASYMOS_SBML_REACTION,,1,24159,0,Nan
23,MASYMOS_SBML_FUNCTION,,1,5635,0,Nan
24,Title,,1,4882,0,Nan
25,MASYMOS_ANNOTATION,,1,48360,0,Nan
26,MASYMOS_ANNOTATION,,2,47554,0,Nan
27,MASYMOS_ANNOTATION,CREATED:MODIFIED,2,806,0,Nan
28,Pathway,,1,16364,0,Nan
29,AgeRange,,1,1608,0,Nan
30,AbstractCollection,,1,82599,0,Nan
31,OmitWord:Gene,,1,2389,0,Nan
32,Gene:OmitWord:?OmitLength,sid:source:status:taxid:type,2,2147,0,Nan
33,Gene:OmitWord,sid:source:status:taxid:type,3,2143,0,Nan
34,Gene:OmitLength:OmitWord,sid:source:status:taxid:type,3,4,0,Nan
35,Gene:OmitWord,sid:source:taxid:type,2,242,0,Nan
36,Response,,1,1,0,Nan
37,NonPatentLiteratureCitation,,1,46943,0,Nan
